university_id,school,subs
77,Florida International University Herbert Wertheim College of Medicine,142
206,University of Nebraska College of Medicine,140
187,University of Michigan Medical School,140
59,Keck School of Medicine of the University of Southern California,138
75,Howard University College of Medicine,138
67,"University of California, San Diego School of Medicine",138
223,Rutgers Robert Wood Johnson Medical School,135
682,Paracelsus Medical University,135
12,Philadelphia College of Osteopathic Medicine – Georgia Campus,134
57,California University of Science and Medicine-School of Medicine,134
7,Touro University California College of Osteopathic Medicine,133
184,Central Michigan University College of Medicine,133
276,Geisinger Commonwealth School of Medicine,132
204,University of North Dakota School of Medicine and Health Sciences,132
230,Columbia University Vagelos College of Physicians and Surgeons,131
265,Wright State University Boonshoft School of Medicine,131
65,"University of California, Los Angeles David Geffen School of Medicine",131
125,University of Louisville School of Medicine,131
48,University of South Alabama College of Medicine,129
16,Marian University College of Osteopathic Medicine,126
205,Creighton University School of Medicine,125
662,University of Medicine and Health Sciences (UMHS),125
241,Weill Cornell Medicine,124
316,The Warren Alpert Medical School of Brown University,124
180,Johns Hopkins University School of Medicine,123
537,Xavier University School of Medicine,122
68,"University of California, San Francisco, School of Medicine",122
54,University of Arizona College of Medicine - Phoenix,121
6,California Health Sciences University,121
45,Pacific Northwest University of Health Sciences,121
390,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,118
196,Washington University in St. Louis School of Medicine,114
220,Cooper Medical School of Rowan University,113
79,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,111
71,University of Connecticut School of Medicine,110
597,University of Kuwait Faculty of Medicine,105
233,Icahn School of Medicine at Mount Sinai,103
182,University of Maryland School of Medicine,102
33,"College of Osteopathic Medicine of the Pacific, Northwest",101
41,Noorda College of Osteopathic Medicine,101
129,Boston University School of Medicine,100
66,"University of California, Riverside School of Medicine",98
226,Kirk Kerkorian School of Medicine at UNLV,94
63,"University of California, Davis, School of Medicine",92
80,University of Central Florida College of Medicine,92
87,Morehouse School of Medicine,91
219,Geisel School of Medicine at Dartmouth,91
238,State University of New York Downstate Medical Center College of Medicine,91
189,Western Michigan University Homer Stryker M.D. School of Medicine,90
733,Trinity School of Medicine,89
76,Charles E. Schmidt College of Medicine at Florida Atlantic University,88
280,Perelman School of Medicine at the University of Pennsylvania,87
381,Meharry Medical College,86
56,California Northstate University College of Medicine,82
221,Hackensack Meridian School of Medicine,81
396,University of Texas Rio Grande Valley School of Medicine,80
503,All Saints University School of Medicine,80
93,Northwestern University The Feinberg School of Medicine,79
52,Mayo Clinic Alix School of Medicine,79
88,University of Hawaii John A. Burns School of Medicine,78
504,Avalon University School of Medicine,75
61,Stanford University School of Medicine,75
240,University of Rochester School of Medicine and Dentistry,74
62,UCLA/Drew Medical Education Program,74
505,Caribbean Medical University School of Medicine,71
201,Duke University School of Medicine,71
388,TCU School of Medicine,69
81,University of Florida College of Medicine,68
186,Oakland University William Beaumont School of Medicine,67
522,St. Matthew's University School of Medicine,67
232,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,67
70,Frank H. Netter M.D. School of Medicine at Quinnipiac University,65
394,University of Texas at Austin Dell Medical School,64
235,New York University Grossman School of Medicine,62
499,Universidad Iberoamericana (UNIBE) Escuela de Medicina,55
744,Semmelweis University,55
273,University of Toronto Faculty of Medicine,54
775,Medical University of the Americas Caribbean Medical School,54
594,University College Dublin School of Medicine,51
90,Carle Illinois College of Medicine,50
38,Sam Houston State University College of Osteopathic Medicine,50
231,CUNY School of Medicine,49
556,Imperial College School of Medicine,49
722,University College Cork School of Medicine,47
527,American University of Integrative Sciences,45
383,Vanderbilt University School of Medicine,45
299,McGill University Faculty of Medicine,43
237,Renaissance School of Medicine at Stony Brook University,43
141,ACPM Medical College,42
675,Trinity College Dublin School of Medicine,41
717,Instituto Tecnológico y de Estudios Superiores de Monterrey,40
526,American University of Barbados School of Medicine,38
55,University of British Columbia Faculty of Medicine,35
737,University of Debrecen Medical School,33
595,Charles University First Faculty of Medicine,33
434,Virginia Tech Carilion School of Medicine,33
552,UCLan School of Medicine,32
268,McMaster University Michael G. DeGroote School of Medicine,31
535,Aureus University School of Medicine,30
393,University of Houston College of Medicine,30
1830,University of New South Wales,30
317,University of Saskatchewan College of Medicine,29
214,Sydney Medical School,28
524,Columbus Central University School of Medicine,28
271,Western University Schulich School of Medicine and Dentistry,28
525,Washington University of Health & Science,27
50,University of Calgary Cumming School of Medicine,27
1829,University of New England,27
2666,Nova Southeastern University,27
571,UCL Medical School,26
579,University of Edinburgh Medical School,26
2635,Michigan State University,25
747,Medical University of Warsaw,25
347,Apollo institute of Medical Sciences and Research,24
483,American International School of Medicine,24
755,Aarhus University Faculty of Health,24
270,Queen's University School of Medicine,24
550,University of Buckingham Medical School,24
559,King's College London School of Medicine and Dentistry,24
290,"Adesh Institute of Medical Sciences & Research, Bathinda",23
482,Alexander American University,23
494,Pontificia Universidad Católica Madre y Maestra Departamento de Medicina,23
242,"Acharya Harihar Postgraduate Institute of Cancer, Cuttack",22
534,American University School of Medicine Aruba,22
179,University of Manitoba Max Rady College of Medicine,21
225,Dalhousie University Faculty of Medicine,20
551,"School of Clinical Medicine, University of Cambridge",20
649,National University of Ireland Galway Medical School,20
302,Bond University Faculty of Health Sciences and Medicine,19
610,Medical University of Gdansk,19
620,Yale University Physician Assistant Online Program,19
341,"Sri Ramachandra Medical College and Research Institute, Chennai",19
435,Melbourne Medical School,19
2773,University of California Los Angeles,18
2512,Boston University,17
2750,Tufts University,16
566,Newcastle University Medical School,15
2474,Australian National University,15
565,Manchester Medical School,15
436,"Monash University Faculty of Medicine, Nursing and Health Sciences",15
362,"Kamineni Academy of Medical Sciences, Hyderabad",14
272,University of Ottawa Faculty of Medicine,14
303,Griffith University School of Medicine,14
668,Universidad de los Andes School of Medicine,14
609,University of the Free State School of Clinical Medicine,14
